aafkagh-,to burst
saagmete-,to be level, smooth, flat
saagragh-,to uncoil; to smooth out; to spread out
saagsaate-,to break its harness (of a dog)
saag-,to get scattered; to get into disarray; to get spread out; to uncoil
saallgaghte-,to scrape off accidently 
saallghaghte-,for wind to change course suddenly get strong; for a storm to arise
saanighte-,to age (of food)
saanqaghqe-,to be face to face; to face
saape-,to cover; to drive (herd of reindeer) to a new place
saapghangite-,to not be detered by cold (or other adverse conditions)
saapkute-,to escape taking some of the hunting gear (of a sea mammal)
saaqghaghte-,to accidentally or suddenly chip
saarma-,to depend on something
saasaqe-,to put in an exposed place; to lay out; to try to attract attention; to seek a favor
saasqaghmeraagh-,to stay around whether appreciated or not
saasqagh-,for wind to be coming straight in from the ocean; to be turned facing something
saatghwaagh-,to wear a fur-side-in parka without a cloth cover
saavgumiigh-,to prepare, get equipment ready, to harpoon the whale
safkaagh-,to cover; to block (view)
safkeghyuug-,to be in a bad mood; to feel frustated; to be angry
safleg-,to handle and examine permission; to "paw"; to rummage through (it)
saghefte-,to anger
sagheme-,to be very envious
sagheve-,to crumble; to topple; to collapse
saghiighqe-,to be enthusiastic; to act intensely
saghna-,to gather; to pick up (many thing); to collect
saghyughte-,to get lots
sagiqe-,to persist; to persevere; to insist; to urge on
saguyaaghte-,to turn when traveling; to take a side trip
saguyaghtaagh-,to prepare a skin drum for use (as by moistening its skin)
sakegh-,to cut in one stroke; to slash
sakenge-,to catch fish or game; to get something; to buy something
sakeqe-,to break in two (of rope, string, thread, wire, tape, etc.)
sakete-,to make thinner
sakighte-,to line up side by side
sakniqe-,to exert oneself; to be forceful; to yearn for something; to be forceful; to be anxious
sakraa-,to be frustrated; to be irritated; to be in a bad mood
sakrite-,to be frustrated; to get irritated
sakusiiqe-,to use in a careless and wasteful manner; to abuse; to mistreat; to oudo in sports
sakwaaqe-,to treat as junk; to be careless with; to handle roughly; to look down on (a person); to outdo in an athletic contest
salagu-,to club; to clobber; to hit with something thrown
sallagte-,to clean in a rough, partial or preliminary way (e.g. a skin)
sallaqi-,to have a comfortable life; to relax; to take it easy; to have time and opportunity to socialize
salleghte-,to leave (after difficulty); to move forward
sallegte-,to scrape (especially fat from a skin)
sallghite-,to be unbleminshed; to not have done anything
sallghwaaghhiite-,to be in perfect condition
salligte-,to scrape (especially fat from a skin)
salliigh-,to travel through slush ice by boat
sallmag-,to patch a boot sole
sallmeg-,to scrape one's skin accidently; to scrape the paint off something
sallughmete-,to be cross-eyed; to be wall-eyed
salug-,to be in desperate need of water to drink; to be dying of thirst
sameghqe-,to die without a trace due to an accident; to have a fatal accident away from a settlement
samillagh-,to unsuccessfully do something (especially in hunting)
samitagh-,to sneak up on
samleghagh-,to be active
samlleghqe-,to scratch; to abrade
sanaghte-,to process a skin; to cure a skin; to tan a skin
sanamaqute-,to prepare something; to get something ready
sanariigh-,to procrastinate
sanghiighi-,to recover; to perk up
sangighqugh-,to wash dishes, hard surfaces, etc.; to wipe clean
sangigte-,to wipe; to clean off (spilled liquid)
sangiighi-,to recover from illness, mishap, etc.
sangiite-,to be deprived (of); to not have any more of
sangunanigh-,to be unconscious because of severe pain or a wound; to become delirious; to be totally exhausted; to be limp
sangyagh-,to be hard to move or pull; to be slow at learning
sangyite-,to not slide easily; to slow down due to rough ground or other adverse conditions
sanighhuwaagh-,to roll about
sanighyigh-,to bar entry; to interrupt one's thoughts
saniite-,to impede activity making it difficult or impossible; to not be conducive to acting
saniligh-,to build addition or add onto side of building
sanitmiighte-,to go sideways or to the side
sanivlegagh-,to suddenly turn or skid sideways or to the side when moving
santiyagh-,to go to Sunday church service
sapaaslug-,to enslave; to mistreat
sapayughhiite-,to be alert; to be okay (of a person)
sapayungigh-,to recover from illness; to regain consciousness; to perk up
sapeghhnagh-,for weather to be very cold
sapegi-,to lose game animal by its escaping
sapiglleghhiistute-,for no reason at all; purposelessly; unexpectedly
sapiiqe-,to negatively experience extreme cold; to be overcome by extreme cold
sapughagh-,to drive (a herd of reindeer) to a new place; to drive animal(s) in the desired direction by blocking other paths; to cover (it, them) repeatedly or continuously
saqaaghhiite-,to be clearly visible
saqaaghiighute-,to have one's vision improve
saqeghqe-,to break to bits; to chip off in bits
saqeghte-,to chip off a piece
saqeme-,to crumble to pieces
saqfitu-,to be splayfooted
saqighaghte-,to accidentally or suddenly chip
saqighqe-,to break to bits; to chip off in bits
saqighte-,to chip off a piece
saqipeg-,to sweep; to rake; to scrape
saqrugaghte-,to chip (of glass or the like)
saqumig-,to hold in the crook of the arm with the arm held out and up; to hug; to embrace
saqumiite-,to give one something of a size that could be carried in the crook of the arm
saquste-,to glide to the side (of a bird)
sariigh-,to hold competive event; to have entertainment; to celebrate
sarma-,to brag
sasii-,to be a practice (something one does habitually or from time to time); to be a device
saste-,to make one act or feel a certain way (generally, with a negative implication)
sategte-,to clean the hairless side of an animal pelt; to clean the inside of a skin tent; to eat fish by stripping the meat off the skin; to clean summer-type hair-in sealskin boots
sateme-,to comes loose from what it is fastened to (of a rope)
savegsite-,to aim harpoon
saveg-,to harpoon
savighhe-,to whittle; to carve; to make red-hot
savigh-,for there to be whitecaps on the ocean and a strong current
savigsigh-,to sharpen; to get knife ready
savigsi-,to get a knife ready for use
savigtaagh-,to point knife at something or someone preparatory to attacking with it
savigtigh-,to direct a knife preparatory to attacking with it
saviigh-,to forge (metal); to make red hot
sayughqaagh-,to become hard, strong and durable (of skin)
sayugh-,to dance a set non-improvised Eskimo dance
sayugpagtagh-,to pull with repeated jerks; to have a tremor; to have a tic; to twitch
sayugtaagh-,to tug
sayug-,to pull; to tug
sayuugte-,to shrink or warp from drying; to feel tense; to be in a tall column (of clouds)
sefkaghte-,to accidentally burst (as an overstuffed meat poke)
sefkagh-,to accidentally cut or tear through (as to the edge when making a hole near the edge of a skin)
sefluqaghte-,to pierce through
segefkagh-,to make holes in something
segeghte-,to become dry and brittle (of wood); to dry excessively and become brittle (of wood)
segeni-,to decorate with reindeer or caribou chin hairs sewn on the  surface of a hide in a garment; to embroider with reindeer or caribou chin hairs
segeve-,to wear through or almost through
segge-,to cut open; to slash; to split open
seggute-,to slam crash or plunge into something
segheve-,to calm down; to diminish in intensity (of emotion)
seghevute-,to forgive
seghhaagh-,to hiss (of liquid on hot surface)
seghhaghute-,to sizzle
seghhe-,to sweat profusely; to gather condensation (on it); for dew to freeze (in fall time)
seghleghni-,to feel bad (for a long time) about a situation
seghleghqe-,to err; to make a mistake; to sin; to be in a very unfortunate situation
seghleghu-,to be bad
seghleghyug-,to feel bad (for a short time); to have hurt feelings
seghleliigh-,to have a hard time; to grieve; to experience depression
seghleqe-,to criticize; to dislike
seketeste-,to set in (of fog)
sekete-,to dunk or bury one's head in something; to bend way over forward (people, birds); to dip into something; to lower the head
sengelqagh-,to hop on one leg
senglepegragh-,to limp around
senglepegte-,to limp
sengngugh-,for overflow water to collect on lake or river ice 
seqemengeltagh-,to exude liquid, especially blood, in bead-like form
seve-,to cut or tear through cloth, skin, flesh, etc., especially starting from a hole
sevraquma-,to be toothed (have sharp projections)
siftagh-,to flatten; to plant one's feet firmly on the floor; to crush
siftughughte-,to be in a kneeling position (of dogs, wolves)
siftugh-,to bury deeply
sighimake-,to hope for
sighima-,to hope; to have faith; to look forward to something
sighla-,to act with strong emotion; to go fast; to get plenty of something; to act with intensity
sighute-,to get buried or covered over by action of waves and sand
sigiqe-,to break or shatter glass, eggshell, ceramic, etc.
sigutkegsi-,to stay alert for news; to "keep one's ears open"
sigutkesi-,to listen for something
sigutlug-,to have an ear infection or earache
sigutqugh-,to whisper into one's ear
siifte-,to set a net, snare, or trap
siiggaghaghte-,to degrade vision through condensation; to suddenly fog up
siighni-,to prepare a walrus stomach for use as a bag; to skip a stone across the surface of the water
siigh-,for weather to clear up; for fog, blizzard, or smoke to clear up, dissipate or pass
siigte-,to have diarrhea
siiknegh-,to be determined; to be persistent
siinge-,to push; to shove
siingleghagh-,to push continuously; to plane wood
siingvallaagh-,to speak in anger or hatred
siingvallagha-,to speak in an aggressive manner
siinqigute-,to rinse
siipgaghte-,to accidentally strip something off
siipngagh-,to be in excess beyond …
siipniyug-,to feel that something is sufficient; to feel superfluous
siipte-,to have something left over; to have an excess
siirgusiigh-,to scramble eggs
sii-,to put drumskin on a drum; for a sheet of thin ice to form on the water
siklaate-,to fall over or fall down (of a person, usually by tripping or slipping)
siklagh-,to use a pick; to break through; to strike with tusks
sikmuute-,to lunge forward; to fall forward; to die (slang)
sikungigh-,to remove ice from (it)
siku-,to get covered with ice; to freeze over
silimuqa-,to poison
silunge-,to become fully fledged (of bird)
simigh-,to change; to exchange; to replace
singaghugh-,to repeatedly kiss
singagh-,to kiss
singigh-,to tie one's laces
singigrakegte-,to have a sharp point
singig-,to come to a point; be pointed
singilpayug-,to tuck the laces of one's boots in the top of the boots (due to being in a hurry)
singlepegte-,to limp
sipegte-,to strip the leaves from a stem; to remove liquid from an object (garment, skin, rope, etc.) by running it through the space between one's thumb and forefinger held together at the tips
sipetughii-,to have a lot left over; to finish or arrive with time to spare
siqaghaghte-,to accidently cut or scrape one's hand or arm or the like
siqagh-,to remove the frilly sides of a certain kind of kelp
siqfallag-,to splash
siqineghllugu-,for it to be sunny
siqinghuugh-,to get sunny
siqinitagha-,to squint from the brightness of the sun
siqite-,to splash (it) out
siqi-,to splash on (him/it)
siqlugaghqu-,to take out meat from an underground cellar
siqlugiigh-,to take out special meat from the cellar  for a feast
siqni-,to covet something; to be envious
siqsimi-,to refrain from doing something in hopes or with the expectation that another will do it; to leave a task for someone else
sisaawiketagh-,to be quick-witted; to be perceptive
sisaawike-,to figure (it) out; to sense (it); to surmise concerning (it)
sisaawisaghagh-,to give hints
sisaawi-,to sense; to surmise; to understand
sitegh-,to patch a skin boat
sivillagte-,to splash (it)
sivugh-,to wring out
sivuke-,to do, be or occur first
sivulii-,to be the first one
sivullaghqugh-,to lead; to be the leader
sivullagh-,to go ahead of time
sivullgaagh-,to go ahead of others; 
sivullgaghtagh-,to interrupt others talking
sivungigh-,to get ahead of
sivungiite-,to get to (it) ahead of others
sivuughagh-,to feel overwhelmed; to feel hesitant; to be apprehensive; to feel defeated
suflitaghtagh-,to lie around on one's stomach
suflugagh-,to shoot (a gun)
sufluqaghte-,to pierce through
sugag-,to feel offended
sugake-,to feel offended on account of (it) or for (him)
sughma-,to play chess or checkers
sughmetku-,to fix rough spots on a reindeer skin after tanning it
sughug-,to attack (of animals or people); to chase; to charge
sugighpagtagh-,to develop red blotches due to emotion (of face)
sugllekegte-,to slightly hit, touch or scratch; to graze (of thrown thing)
sugri-,to get discolored (red or blue) around the mouth due to cold
sugrugmighqu-,to poke in the snout
sugugte-,to go ashore; to stop ashore when traveling by boat
sugute-,to put boat up on land or ice for a little while traveling 
sukaghi-,to become fast
sukallaagh-,to tell one to hurry
sukanghagh-,to race; to speed along; to rush
sukangiite-,to slow down
sukangite-,to be slow
sukate*-,to be fast
sukeraragkiigh-,to go extremely fast
sukera-,to hurry; to be going very fast
sukite-,to get a splinter in one's flesh
sulaawi-,to be fatigued from lack of rest or from strenuous work; to get tired
sulleve-,to tear further; to unravel; to come undone at seam
sullevniqe-,to be mischievous; to be destructive
sulughhaghte-,to whip
sulugtagh-,for wind to howl (especially blowing through cracks)
sumeghiighte-,to worry
sumeghmike-,to think about; to have (it) on one's mind
sumeghmiqe-,to cause (him) to worry
sumeghniqe-,to think about something; to try to figure something out
sumeghtaghagh-,to think
sumeghte-,to worry; to be concerned; to plan to do something about the object of one's worry; to try to decide
sumeghyali-,to have a lot on one's mind; to worry
sumlleghaghte-,to split (especially along a seam)
sungaghaghqwaa-,to blush
sungaghate-,to be rosy-cheeked
sungaghteqe-,to redden from embaressment, rage, or exertion
sungaghyug-,to be bluish or greenish in color
sungaghyukegte-,to be bright blue or green
sungamteqe-,to redden from embaressment, rage, or exertion
sungghanagh-,to be full of energy; to be excited and ready to act; to do things fast; to be frenetic
sunggharuug-,to become very active
sungite-,to feel bitter (including both emotionally and physically as when one tastes something bitter)
sunglug-,to fold or bend in as in forming an indentation; to cave in
supeg-,to shoot repeatedly
supelghagh-,to partially dry in the breeze; air out
supughaate-,to blow away a hurt
supughragh-,to blow repeatedly
supugh-,to blow repeatedly or constantly
supug-,to be drafty
suqaghnalke-,to run over with a sled
suqi-,to remove the baleen from a whale
suughite-,to be clear; to be weak (of tea)
suughneghiite-,to turn pale
suughpagte-,to suddenly become dark or murky (especially of liquid); to change color; to became spotted or stained
suughte-,to darken or become murky; to become off-white in color; to get strong (of tea or coffee)
suughuute-,to stir up sediment in a liquid
suugh-,to be murky; to be muddy (of water); to be strong (of tea or coffee); to be off-white in color
suuglliqe-,to get frustrated and show ones anger
suugllug-,to be irritable; to be in a bad mood; to get angry easily
suuma-,tobacco of a type brought to Chukotka from Alaska
suume-,to be rabid; to be drunk; to go berserk; to be in a trance (shaman); to act wild
suumqi-,to remember; to be considerate; to keep in mind
suupeqe-,to soap up; to lather up
suupe-,to blow
suupgaghte-,to change direction suddenly when fleeing; to change one's mind
suupute-,to exhale blood when caught (of sea mammal)
suuygute-,to splash on the water with something to try induce game to come to the surface
suvaaghwagh-,to continue (excessively) in the same mood
suvate-,to gossip; to spread news
suvinagh-,to be prickly, rough, or coarse to the touch
suyaghnanigh-,to run out of energy for moving on
suyaqnanigh-,to lose the desire to do something on account of fatigue
suyiigh-,to be barely moving on account of a rough surface, tiredness, etc.
suyvaghte-,to get much or many; to get more than enough
taaghqe-,to get injured on the head
taake-,to be long (in space or time)
taane-,to scrub
taape-,to seep through
taapngig-,to easily soak up liquid; absorbent
taapute-,to seep through
taaqe-,to finish; to quit
taaqiinagh-,to do in abundance; to do enough
taaqriite-,to be brightly or dark colored and stand out from background
taaqurragkiigh-,to complete tasks right away
taatkaghte-,to hit on the nose
taatqaghte-,to kill by striking with an object
taayughqe-,to hurry; to be in hurry
tafsikwagh-,to use a makeshift belt
tafsi-,to put on a belt
taghneghaghqugh-,to see one's reflection
taghnughhiqe-,to babysit
taghpagh-,to open; to enlarge
taghsagh-,to awaken (him)
taghtugh-,to wake up
taghyughii-,to swell after contact with salt water (of a cut)
taghyughnite-,to be salty
tagite-,to bring (to speaker); to give (to speaker) (not in the sense of transferring ownership)
tagitiqwaa-,to be lost in the fog
tagivagh-,to give (to speaker)(not in the sense of transferring ownership); to hand (to speaker)
tagi-,to come (to speaker)
tagiyagh-,for there to be a gust of wind
taglaate-,to bring (it) up the slope; to bring to the mountain for burial
taglagh-,to go up from sea to shore or up the shore; to go to Chukotka from St. Lawrence Island; for wind to blow from the southwest; to move inland
taglugute-,to pull up; to drag up
tagneghute-,to become partially visible through the darkness 
tagnegh-,to be black
tagneghziigute-,to be barely visible in the dim light
tagneqegte-,to be completely black
tagsighsaqe-,to not come when called; to wait to be implored to come
tagsigh-,to beckon; to call to come
tagsiqligh-,to invite (him) over for a definite purpose
tagugha-,for surf to come in over a low part of the beach
tagyuqa-,to slowly come toward the shore (of a boat)
takaghqughvike-,to cover by putting boards or the like crosswise over (it)
takaghte-,to lean (it) against something
takagh-,to be crosswise; to be caught in an opening so that it cannot fit through
takellengugh-,to lose patience
takelliighagh-,to shorten; to become shorter
takelli-,to shorten; to make shorter
takestaaghhaa-,to be short
taketu-,to be how long; to be so long
taketuyiig-,to be lengthy
takii-,to approach game (while hunting)
taklaghrukegte-,to be straight
takumrraaqe-,to leave (it, an important or valuable thing) out
takumsug-,to go somewhere for pleasure or entertainment
takuughagh-,to go from place to place
taku-,to go to a specific place for a definite reason
takuyangllagh-,to tap on another's shoulders to get attention
talaghitagh-,to jump up from the surface of the water (of a fish)
taliighpaguute-,to come momentarily into view
talitaghwaagh-,to keep out of sight
talite-,to go out of sight behind something
tallaagh-,to split sinew for thread
talligh-,to dance Inupiaq style, seated,with arm motions only
tallu-,to split sinew for thread
talughaghtagh-,to move repeatedly in and out of sight
talugh-,to move out of sight
tamaa-,to chew
tamlag-,to land (of a boat); to beach a boat
tangeghsaghtugh-,to go to a relative's grave after five days of mourning
tangeghtughte-,to harden
tangeghtu-,to be solid; to be hard; to be tough
tangigh-,to eat (greens) along with one's other food
tanighaate-,to be an exception
tanightugh-,to cut off pieces
tanigh-,to cut piece off of (it)
taniilqe-,to treat unequally; to leave out
tanpigh-,to put on, or get put on, dried walrus hide
tanughqe-,to scrub thoroughly
taperghugh-,to seep slowly and continuously
tapghaghaghtagh-,to lasso reindeer
tapghi-,to make rope
tapi-,to sew a patch onto the sole of a boot to keep water out
taplaa-,to start being away from parents (animals or humans); to wander; to walk around on one's own (of a baby or child)
tapnaghte-,to reinforce a worn out part of a rope with another rope
tapughtugh-,to continue to seep through
tapusigh-,to add another rope as a reinforcement
taqayuqe-,to reach the limits of one's physical abilities due to overwork
taqefkagh-,to finish quickly
taqelghagh-,to complete the work on (it)
taqellengugh-,to be patient and persevering; to tire of being asked and finally agree or give in; to reach point where one can no longer refuse; to tire of gossip and to start to defend oneself
taqmiigh-,to finish; to complete
taqughte-,to braid one's hair
taqugh-,to finish one by one
taqustaqaa-,to suffocate; to choke
tareqi-,to remove blubber from walrus hide
tarughite-,to go behind something and out of sight; to disappear from view behind something
tasigu-,to club (with a stick)
tasikligh-,to tie rope onto someone or something
taslugh-,to hold hands with
tasugte-,to cut a seal from the flipper opening to the front slit when skinning prepratory to stretching and drying the skin
tatame-,to be scared; to get terrified
tateghte-,to brake; to come up against; to be stuck on something
tatesaghte-,to hit on the nose
tavaghte-,to group together by tying (them) together; to tie together in a group
tawarungi-,to depend on for security and support
tawatete-,to be that way; to be like that
tawaviigh-,to get very close to
tawli-,towel
tayeghqagh-,to roll up one's sleeves
tazimante-,to be gone; to not come back; to not show up again
teflilgu-,to have crud around one's mouth
tefliliighqe-,to get crud around one's mouth
teflingigh-,to wipe one's mouth
teflitu-,to have a lot of crud around one's mouth
tefsaghug-,for wind to be blowing over and down a hill or mountain
tefte-,to lean over; to drape over
teggaaghqe-,to stiffen from being frozen
teggellghiigh-,to be afraid, hiding one's fear from others; to feel scared inside
teggi-,to stiffen; to harden
teggmag-,to be stiff
teggughte-,to compress into a hard ball
teghhute-,to have sexual intercourse
teghhwaaghigh-,to laugh hard with delight
teghightugh-,to stalk; to pursue
teghigniigh-,to hunt
teghigniqe-,to have fun; to enjoy something
teghigsigh-,to sing a song to attract game (of a shaman)
teghiigh-,to pursue (of dogs pursuing an animal)
teghingyug-,to suddenly start to enjoy oneself
teghlugte-,to roll one's eyes upwards
teghlug-,to escape under ice (of a struck sea mammal); to land from the sea onto the beach
teghqig-,to wipe anal area
teghrughte-,to double or shorten a rope by looping it over something, threading the end through the loop and tightening it; to tie loosely
teghsagh-,to awaken (him); to wake (him) up
teghtugh-,to wake up
tegleg-,to steal
teglenga-,to be a thief
tegyuughiite-,to not be hesitant to express one's thoughts; to be outspoken; to be daring
tekaghreketiigh-,to continuously flow from small opening in the lower part of container
tekagh-,to have an erection
tekeghregagh-,to poke around with the index finger
tekghaghte-,to be swept backwards due to the speed at which something is moving
tekiite-,to land (of something thrown, not of birds or planes); to hit
tekiqe-,to find (it, garment) to be too small
tekite-,to land (of something thrown, not of birds or planes); to hit
telaananga-,to sail
temeghnagh-,to try to cure illness through ritual
temeghte-,to cut into the flesh when skinning a carcass
temitenge-,to sympathize with a loved one who is ill or in trouble
temli-,to sleepwalk; to talk in sleep
temngingu-,to be nonsense; to be foolish
temngitwha-,to act wastefully; to spread lies; to waste time
temsiyaaghagh-,to smile faintly wanting to laugh but suppressing it
tengaa-,to fly around
tenge-,to take off in flight; to fly (off)
tengghuniqe-,to have fun
tengilghaaghqe-,to make dust or debris fly around; to cause many birds to fly off
tenglepegragh-,to tap
tenglugtugh-,to knock on the door
tenglug-,to punch with one's fist
tengug-,to box; to fight with fists
tenguqe-,to strain (as when defecating or giving birth)
tenmaawi-,to become accustomed to something
tenpe-,to hit hard (not with the hand or fist); to crash into
tepe-,to drift ashore; to wash ashore
teptaaqe-,to tie something with a string and a stick on which to wrap the end of the string back and forth to hold it in place
teregh-,to mark with a line; to make a line on something
terghii-,to touch slightly when shooting or throwing at something rather than gettting an exact hit; to graze
terugi-,to draw
tetagh-,to mark at an exact point for cutting
tetug-,to be reluctant to ask; to hesitate to ask; to be bashful
tevegh-,to be stiff (of arm, leg, etc.)
teve-,to go over a hill; to overflow
tevigh-,to set (of sun or moon)
tevragh-,to hunt seals on ice
tevugha-,to overflow
tiighqe-,to remove outer garment because of getting hot
tiigmeraagh-,to wear thin, light clothing
tiig-,to peel a layer off of something; to remove outer garment
tiiwhte-,to turn and present a narrow profile in place of a broad profile
tinmaawi-,to become accustomed to something
tugaghtugh-,to chip repeatedly with an ice pick
tugagh-,to use an ice pick;  chip ice with an ice pick
tugegh-,to be too big to fit in; to chip with an ice pick; to push on the ice pack breaking it up (of ocean current)
tugeghyagte-,to be small and tight (of clothes)
tughumgha-,to wrestle (with)
tughwaagh-,to get nearer
tugmagte-,to store away for later use; to kill (him) and bury or conceal the body
tugukligh-,to take in (orphan, guest); to grab onto something to keep from falling
tugulagh-,to take continually or repeatedly
tugulaghvike-,to take things from (him)
tugulegh-,to molest sexually; to grope (sexually)
tugulghaagh-,to wrestle; to hug
tugulghute-,to fight; handle (him) roughly
tugumiiqe-,to hold in the hand or hands; to be fastened to an ice cake (of boat); to take with one
tuguniigh-,to handle roughly; to grapple with; to act on in order to kill (of a shaman)
tugu-,to take with the hand; to grab; to pick up; to take as a wife
tukaate-,to get sick from eating incompatible foods (such as land greens and sea greens)
tukagh-,to stamp one's feet; to dance
tukeghragh-,to kick repeatedly with both feet (like a baby does)
tukegh-,to brace with one's foot; to stretch a skin by dampening it and sitting on it holding the edge and pushing out with one's heel; to hatch (of egg)
tukeqagh-,to shove or kick with one's foot
tukfightugh-,to give gifts to the parents of one's son's wife-to-be; to pay the bride-price
tukfigh-,to buy
tukiitaa-,to have no place to stay when in another town; to not have a host
tukmagh-,to trample
tukrugsigh-,to allow to dry
tukrug-,to harden by drying
tukrukaag-,to be somewhat hard
tukuqe-,to arrive as a guest; to be a guest of (him/her))
tukuste-,to flex or tense all of one's muscles
tulaagh-,to put splint on something broken
tulag-,to slash; to cut
tulughagh-,to nod when sitting and falling asleep
tulugh-,to hone, whet or sharpen
tuluumsiighte-,to take a nap
tumaaghite-,to get or have a lot of tracks or footprints
tumagreghagh-,to pack for a trip
tumag-,to taste bitter
tumighqaate-,to return to St. Lawrence Island from Chukotka or vice-versa
tumigte-,to return to St. Lawrence Island from Chukotka or vice-versa
tunallagute-,to fall on one's buttocks
tungangigh-,to come near to
tungangiite-,to be in line with something; to line up with something
tungqaghaghte-,to hit close to the mark (literally or figuratively)
tungsigh-,to ask for
tungtuqu-,to hunt caribou
tungunghaqe-,to sleep deeply and soundly
tungu-,to stare vacantly into space; to daydream
tungzigh-,to flare out; to fan out
tunqugh-,to donate generously
tunupightagh-,to keep one's back turned to others
tunusugkugh-,to hit on the back of head
tunute-,to turn away; to turn one's back on (him)
tunuvagh-,to go back; to take back
tupagpagtagh-,to have convulsions; to jerk one's body in sleep
tupagpag-,to get startled
tupag-,to get startled
tupeqaag-,to be clumsy or awkward or stiff
tupeqwaag-,to be clumsy or awkward or stiff
tupnguugh-,to move from natural environment due to being bothered or from excessive traffic nearby (of wild animal)
tuqaallngwaaghagh-,to stand motionless; to lose consciousness
tuqaa-,to feel "high"; to eclipse (of moon or sun)
tuqlughagh-,to call loudly
tuqlughragh-,to call repeatedly
tuqlugh-,to call out to; to telephone
tuqufkagh-,to knock out
tuquma-,to be dead
tuqumsiyug-,to have a close brush with death; to almost die
tuqunagh-,to be poisonous
tuquraag-,to knock out
tuqusiigh-,to wait around to die
tuqute-,to kill
tuqutngwaagh-,to laugh heartily
tuquuqagh-,to drive nail into (it)
tuqu-,to die; to ferment
tuquyug-,to be deathly ill
tusaqesighwaagh-,to ignore it when told to do something acting as though one didn't heard
tusaqe-,to hear and comprehend
tusaqneghllug-,to misunderstand; to hear incorrectly
tusigagh-,to attend a gathering
tusigalliqe-,to be mischievous
tusigate-,to be comical, witty, or entertaining
tusite-,to inform (him)
tusugniite-,to have no news
tuteg-,to get side-by-side with; to get parallel to
tutmagh-,to step several times; to walk all over something; to tread upon
tutmaghwaagh-,to search for roots stored by mice in underground caches by stepping around feeling for hollow spots beneath the ground's surface
tuufqaghtagh-,to eat quickly
tuufqagh-,to smoke while inhaling the smoke and breathing heavily
tuufte-,to swallow something accidently; to choke on something; to have hiccups
tuugte-,to bundle securely; to make walrus hide into a ball by putting holes around the edge and drawing a string tightly through it; to tighten a parka hood around the face
tuumke-,to make a stop for
tuumte-,to follow; to track; to follow a path in life
tuune-,to give
tuungsagte-,to come near; to approach
tuuslagh-,to be hard of hearing; to be deaf
tuusliite-,to hear well
tuutaqu-,to step lightly and repeatedly; for a gentle rain to fall
tuute-,to step on; to put a foot on; to land on the ground; to fall (rain); to clean a skin by laying it on the snow and stepping on it; to claim
tuuymig-,to carry on one's shoulder(s); to nudge with shoulder
tuyapegtagh-,to have a tremor
tuya-,to bob up and down; to throb; to shake with suppressed laughter; to shiver
tuyeftu-,to be broad-shouldered
tuyelliqe-,to have aching shoulders
tuyepegtagh-,to have a tremor
tuyepgha-,to jolt (boat, sled, wheeled vehicle, plane)
tuyugh-,to send; to go to join a boat crew
uflughaagh-,to repeatedly run one's hand over (it)
uflugh-,to run one's hand or fingers over (it)
ufsug-,to shake or brush off dirt or snow
ufsulqutagh-,to flutter
ugate-,to move (including where water exits to ocean)
ughhe-,to urinate
ughleghiigh-,to work very hard; to suffer anguish
ughugsigh-,to thaw (it); to warm oneself
ughug-,to melt; to thaw; to warm up
ughumaaghte-,to perspire; to sweat
ughumaangllagh-,to work up a sweat
ughunqightughte-,for there to be thawed patches
ughvughqe-,to bathe
ughvugh-,to rinse; to wash one's body
ughyugh-,to spit (on); for water to seep out of ice
ughyuqaghtagh-,to spray; to spill
ugighhe-,to maul; to fight (of dogs)
ugighhniigh-,to growl; to snarl
ugighhughtaa-,to fight viciously
ugighsagh-,to be fierce
ugiigh-,to get a husband; to get married (of a woman)
ugini-,to roar; to growl
ugkelli-,to cut meat into pieces sized for cooking 
uglafqe-,to get confused; to scatter; to separate into parts (as when butchering a carcass)
uglaghi-,to increase in number; to multiply; to become more
uglagh-,to be many; to be numerous; to be much
uglaqaghtagh-,to acquire lots of something
uglave-,to spread out; to disperse
uglavniqe-,to be overwhelmed by a large number (of tasks to be done, people, etc.)
uglavyug-,to be overwhelmed by a large number (of tasks to be done, people, etc.)
ugmelli-,to become or make thinner
ugpegh-,to believe; to be or become a Christian; to have faith
ugpeqe-,to believe (it or him)
uguma-,to be boiling
ugumiite-,to be angry at
ugumikeraagh-,to reject at play; to treat badly
uguminqe-,to be very angry
ugumisaate-,to stir up anger against
uguqe-,to burn one's flesh
uguqnagh-,to be burning hot
ugute-,to get done (in cooking); to cook or be cooked
ugu-,to get irritated (of skin); to get burnt; to ripen
ukamagh-,to tow a boat by walking along the shore
ukapighqaagh-,to move closer
ukatghute-,to miss the mark by one's shot falling short; to undershoot
ukavagh-,to come nearer; to approach; to lessen in value; to be demoted
ukazighniigh-,to hunt rabbits (hare)
ukazighyagh-,to hunt rabbits (hare)
ukifkagh-,to puncture
ukigagh-,to go up and down a cliff on a rope, especially when gathering eggs
ukig-,to go down; to descend (an incline)
ukini-,to sew
ukiqrugh-,to get lots of holes
ukiqute-,to poke through or show through by making holes in what covers it
ukistagh-,to use an ice pick (spud)
ukite-,to make hole in (it); to pierce
ukivagh-,to approach
uki-,to get a hole
ukmangigh-,to clean
ukmangite-,to be clean; to be immaculate
uksaaghte-,to spend the autumn
uksaagh-,to be autumn
uksaaqestagh-,for autumn to begin
uksughte-,to spend the winter
