Qikmim Ilakumtaalleghpigaa

qikmim	qikmigh[N][Rel][Unpd][Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alugh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alegh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	aligh-––i[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	ali-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-te[V→V]-@₁~laatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-te[V→V]-@₁~flaatagh[V→V][V][Trns][Intrg][3Sg][3Sg]
aliklaataghtagu	alike-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Trns][Intrg][3Sg][3Sg]

------------------------


------------------------
Ivaghyaghtughluku naalkumakanga yuuk.

ivaghyaghtughluku	ivagh-@₁~fyaghtugh[V→V][V][Trns][Sbrd][_][3Sg]

naalkumakanga	Nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	Nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	Nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	Nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	Nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	naa-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naa-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naa-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naa-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naa-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
naalkumakanga	naalke-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
naalkumakanga	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	na-aq[V→N]-–leg[N→N]-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
naalkumakanga	nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
naalkumakanga	nalle-~–ke[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]

yuuk	yug[N][Abs][Sg]

------------------------
